minorityvote = 83/7/81/21 A-57-PV.77 pg034-bk06 2002-12-18 Operative paragraph 4 (a) of draft resolution III was retained by 83 votes to 7, with 81 abstentions.
minorityvote = 82/7/83/20 A-57-PV.77 pg035-bk02 2002-12-18 Operative paragraph 4 (b) of draft resolution III was retained by 82 votes to 7, with 83 abstentions.
minorityvote = 84/7/80/21 A-57-PV.77 pg036-bk02 2002-12-18 Operative paragraph 4 (e) of draft resolution III was retained by 84 votes to 7, with 80 abstentions.
minorityvote = 85/7/79/21 A-57-PV.77 pg036-bk04 2002-12-18 Operative paragraph 4 (f) of draft resolution III was retained by 85 votes to 7, with 79 abstentions.
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 86/11/26/69 A-57-PV.47 pg009-bk02 2002-11-11 The motion for no action was carried by 86 votes to 11, with 26 abstentions.
minorityvote = 101/13/49/22 A-49-PV.94 pg024-bk06 1994-12-23 Draft resolution III was adopted by 101 votes to 13, with 49 abstentions ( resolution 49/198 ).
minorityvote = 85/14/50/36 A-50-PV.99 pg017-bk04 1995-12-22 Operative paragraph 12 was adopted by 85 votes to 14, with 50 abstentions.
minorityvote = 87/15/50/33 A-50-PV.99 pg016-bk08 1995-12-22 Operative paragraph 2 was adopted by 87 votes to 15, with 50 abstentions.
minorityvote = 94/15/54/22 A-50-PV.99 pg018-bk02 1995-12-22 Draft resolution X as a whole was adopted by 94 votes to 15, with 54 abstentions ( resolution 50/197 ).
ambassador = A-57-PV.14 pg019-bk01 2002-09-18 Mr. Nguyen Dy Nien
ambassador = A-58-PV.14 pg022-bk02 2003-09-26 Mr. Nguyen Dy Nien
ambassador = A-60-PV.19 pg020-bk02 2005-09-21 Mr. Nguyen Dy Nien
ambassador = A-49-PV.23 pg005-bk04 1994-10-07 Mr. Nguyen Manh Cam
ambassador = A-50-PV.15 pg019-bk02 1995-10-02 Mr. Nguyen Manh Cam
ambassador = A-50-PV.15 pg021-bk02 1995-10-02 Mr. Nguyen Manh Cam
ambassador = A-51-PV.18 pg015-bk02 1996-10-02 Mr. Nguyen Manh Cam
ambassador = A-53-PV.15 pg027-bk02 1998-09-25 Mr. Nguyen Manh Cam
ambassador = A-54-PV.15 pg016-bk02 1999-09-25 Mr. Nguyen Manh Cam
ambassador = A-59-PV.106 pg027-bk02 2005-06-27 Mr. Nguyen Sinh Hung
ambassador = A-61-PV.6 pg023-bk02 2006-09-15 Mr. Nguyen Tat Thanh
ambassador = A-61-PV.6 pg024-bk02 2006-09-15 Mr. Nguyen Tat Thanh
ambassador = A-61-PV.69 pg017-bk03 2006-12-07 Mr. Nguyen Tat Thanh
ambassador = S-PV-4204-Resu.2 pg011-bk02 2000-10-05 Mr. Nguyen Thanh Chau
ambassador = A-55-PV.35 pg021-bk01 2000-10-17 Mr. Nguyen Thanh Chau
ambassador = A-55-PV.45 pg019-bk01 2000-10-31 Mr. Nguyen Thanh Chau
ambassador = A-55-PV.56 pg003-bk02 2000-11-09 Mr. Nguyen Thanh Chau
ambassador = A-55-PV.64 pg007-bk01 2000-11-16 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.1 pg006-bk04 2001-09-12 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.10 pg026-bk01 2001-09-25 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.19 pg003-bk01 2001-10-04 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.35 pg001-bk04 2001-10-31 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.51 pg041-bk01 2001-11-13 Mr. Nguyen Thanh Chau
ambassador = A-56-PV.64 pg015-bk01 2001-11-27 Mr. Nguyen Thanh Chau
ambassador = S-PV-4625-Resu.2 pg011-bk02 2002-10-17 Mr. Nguyen Thanh Chau
ambassador = A-57-PV.39 pg003-bk01 2002-10-30 Mr. Nguyen Thanh Chau
ambassador = A-57-PV.48 pg003-bk01 2002-11-12 Mr. Nguyen Thanh Chau
ambassador = A-57-PV.60 pg007-bk01 2002-11-26 Mr. Nguyen Thanh Chau
ambassador = A-57-PV.65 pg001-bk04 2002-12-02 Mr. Nguyen Thanh Chau
ambassador = A-57-PV.71 pg014-bk01 2002-12-10 Mr. Nguyen Thanh Chau
ambassador = S-PV-4726 pg031-bk04 2003-03-26 Mr. Nguyen Thanh Chau
ambassador = A-58-PV.29 pg003-bk01 2003-10-13 Mr. Nguyen Thanh Chau
ambassador = A-58-PV.39 pg022-bk01 2003-10-21 Mr. Nguyen Thanh Chau
ambassador = A-58-PV.54 pg005-bk04 2003-11-04 Mr. Nguyen Thanh Chau
ambassador = A-54-PV.49 pg001-bk05 1999-11-08 Mr. Pham Binh Minh
ambassador = A-54-PV.50 pg008-bk02 1999-11-09 Mr. Pham Binh Minh
ambassador = A-54-PV.52 pg006-bk02 1999-11-11 Mr. Pham Binh Minh
ambassador = A-54-PV.61 pg028-bk01 1999-11-22 Mr. Pham Binh Minh
ambassador = A-54-PV.85 pg004-bk01 1999-12-20 Mr. Pham Binh Minh
ambassador = A-55-PV.42 pg022-bk01 2000-10-26 Mr. Pham Binh Minh
ambassador = A-60-PV.86 pg016-bk04 2006-06-02 Mr. Pham Gia Khiem
ambassador = A-60-PV.64 pg025-bk01 2005-12-16 Mr. Pham Hai Anh
ambassador = A-50-PV.125 pg009-bk01 1996-09-10 Mr. Pham Quang Vinh
ambassador = A-51-PV.43 pg021-bk04 1996-10-29 Mr. Pham Quang Vinh
ambassador = A-51-PV.57 pg013-bk02 1996-11-12 Mr. Pham Quang Vinh
ambassador = A-51-PV.77 pg007-bk01 1996-12-09 Mr. Pham Quang Vinh
ambassador = A-52-PV.49 pg021-bk04 1997-11-12 Mr. Pham Quang Vinh
ambassador = A-52-PV.54 pg011-bk01 1997-11-25 Mr. Pham Quang Vinh
ambassador = A-53-PV.64 pg024-bk01 1998-11-20 Mr. Pham Quang Vinh
ambassador = A-53-PV.69 pg010-bk01 1998-11-24 Mr. Pham Quang Vinh
ambassador = A-53-PV.74 pg001-bk03 1998-12-01 Mr. Pham Quang Vinh
ambassador = A-52-PV.57 pg021-bk04 1997-11-26 Mr. Pham Truong Giang
ambassador = A-54-PV.62 pg022-bk02 1999-11-24 Mr. Phan Truong Giang
ambassador = A-52-PV.19 pg001-bk04 1997-10-01 Mr. Vu Khoan
ambassador = A-50-PV.60 pg008-bk01 1995-11-15 Mrs. Hoang Thi Cu
ambassador = A-50-PV.75 pg003-bk02 1995-11-30 Mrs. Hoang Thi Cu
ambassador = A-60-PV.6 pg040-bk01 2005-09-15 Ms. Truong My Hoa
